"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39003","Allen County, Ohio",2009,88.1,13,14.4,20.4
"39007","Ashtabula County, Ohio",2009,84.4,13.8,16.4,17.9
"39013","Belmont County, Ohio",2009,82.9,8.3,13.3,17
"39017","Butler County, Ohio",2009,87.8,11.4,12.2,13.5
"39023","Clark County, Ohio",2009,84.2,12.3,16.9,16.2
"39025","Clermont County, Ohio",2009,86.9,10.1,8.1,10.6
"39029","Columbiana County, Ohio",2009,84.3,13.1,13.8,16.5
"39035","Cuyahoga County, Ohio",2009,86,13.6,15.4,18.6
"39041","Delaware County, Ohio",2009,95.2,4.9,4.1,4.7
"39043","Erie County, Ohio",2009,89.2,8.2,10.2,16.6
"39045","Fairfield County, Ohio",2009,92,10.1,11.3,13.1
"39049","Franklin County, Ohio",2009,89.5,8.9,12.4,18.2
"39055","Geauga County, Ohio",2009,89.6,9.4,4.6,9.1
"39057","Greene County, Ohio",2009,92.5,8.3,8,12.9
"39061","Hamilton County, Ohio",2009,87.2,9.3,11.7,15
"39063","Hancock County, Ohio",2009,92.3,7,6.4,10.9
"39081","Jefferson County, Ohio",2009,86.8,10.4,15.3,17.7
"39085","Lake County, Ohio",2009,91.3,7.8,5,7.7
"39089","Licking County, Ohio",2009,88.5,8.5,13.3,11.9
"39093","Lorain County, Ohio",2009,88.3,12.3,13.9,14.8
"39095","Lucas County, Ohio",2009,86.2,16.4,17.8,18.4
"39099","Mahoning County, Ohio",2009,88,12.4,16.5,18.3
"39101","Marion County, Ohio",2009,85.2,11.9,14.8,17.6
"39103","Medina County, Ohio",2009,93.2,7.6,5.7,6.3
"39109","Miami County, Ohio",2009,86.1,6.8,8.6,13.2
"39113","Montgomery County, Ohio",2009,88.2,13.3,13.1,16
"39119","Muskingum County, Ohio",2009,86,10.4,17.2,16
"39133","Portage County, Ohio",2009,90.9,13.7,11.2,14.8
"39139","Richland County, Ohio",2009,84.5,9.4,12.9,14.1
"39141","Ross County, Ohio",2009,82.9,12,14.5,18.6
"39145","Scioto County, Ohio",2009,81.6,11.5,21.3,22.4
"39151","Stark County, Ohio",2009,86.7,11.4,13.1,14.9
"39153","Summit County, Ohio",2009,89.6,11.1,12.3,14.7
"39155","Trumbull County, Ohio",2009,85.2,12.2,13.5,16.1
"39157","Tuscarawas County, Ohio",2009,85.9,11.5,11.9,14.7
"39165","Warren County, Ohio",2009,90.2,9.1,4.6,5.7
"39169","Wayne County, Ohio",2009,87.5,8.2,9.7,10.2
"39173","Wood County, Ohio",2009,91.4,11.9,10.3,14.7
"39151","Stark County, Ohio",2010,89.6,12.3,13.2,14.3
"39153","Summit County, Ohio",2010,89.2,11.6,13.4,15.3
"39155","Trumbull County, Ohio",2010,88.4,10.8,13.7,18.4
"39157","Tuscarawas County, Ohio",2010,87.3,7.8,14.5,14.9
"39165","Warren County, Ohio",2010,91.3,8.5,5.6,5.1
"39169","Wayne County, Ohio",2010,85.1,9,11,11.8
"39173","Wood County, Ohio",2010,92.4,13.7,9.3,14.1
"39003","Allen County, Ohio",2010,86.7,12.7,17.4,19.3
"39007","Ashtabula County, Ohio",2010,85.3,12,17,14.9
"39013","Belmont County, Ohio",2010,87.9,7.9,12,14.5
"39017","Butler County, Ohio",2010,88.1,10.9,12.6,13.6
"39023","Clark County, Ohio",2010,84.9,11.5,20.7,20.6
"39025","Clermont County, Ohio",2010,87.4,9,7.6,8.9
"39029","Columbiana County, Ohio",2010,86.1,12.6,19.1,18.2
"39035","Cuyahoga County, Ohio",2010,87.6,13,16.7,17.9
"39041","Delaware County, Ohio",2010,95.8,6.8,6,6.2
"39043","Erie County, Ohio",2010,89.6,12,16.1,15.7
"39045","Fairfield County, Ohio",2010,91.3,8.7,11.8,11.6
"39049","Franklin County, Ohio",2010,89.5,11.2,15.6,18.6
"39055","Geauga County, Ohio",2010,89.7,7.4,5.2,7.7
"39057","Greene County, Ohio",2010,93.2,8.9,9.4,14.4
"39061","Hamilton County, Ohio",2010,89,10.7,13.4,18.4
"39063","Hancock County, Ohio",2010,90.8,9.2,9,12.4
"39081","Jefferson County, Ohio",2010,89.8,10,18.8,18.9
"39085","Lake County, Ohio",2010,90.5,9.6,8.8,9.5
"39089","Licking County, Ohio",2010,87.8,9.6,13.1,12.4
"39093","Lorain County, Ohio",2010,89.8,10.7,12.9,14.2
"39095","Lucas County, Ohio",2010,88.5,14.4,17,19.4
"39099","Mahoning County, Ohio",2010,89.3,15.4,16.6,16
"39101","Marion County, Ohio",2010,82.3,10,21.3,20.4
"39103","Medina County, Ohio",2010,93.7,7.8,6.6,7.7
"39109","Miami County, Ohio",2010,89.1,9.9,8.1,12.5
"39113","Montgomery County, Ohio",2010,87.9,12.4,14.8,17.8
"39119","Muskingum County, Ohio",2010,88.3,12.6,17.1,17.1
"39133","Portage County, Ohio",2010,89.6,13,11.2,16
"39139","Richland County, Ohio",2010,86.4,12.4,14.1,12.9
"39141","Ross County, Ohio",2010,84.1,18.6,19.4,19.6
"39145","Scioto County, Ohio",2010,81.2,14.4,22.3,20.7
"39003","Allen County, Ohio",2011,88.9,13.3,18,19.3
"39007","Ashtabula County, Ohio",2011,85.8,12.3,20.8,21.2
"39013","Belmont County, Ohio",2011,87.6,11.6,14.3,14
"39017","Butler County, Ohio",2011,89.2,9.9,12.1,13.9
"39023","Clark County, Ohio",2011,86.6,12.5,20.9,19.5
"39025","Clermont County, Ohio",2011,87.4,6.5,9.4,10.7
"39029","Columbiana County, Ohio",2011,86.2,11.6,15,16.8
"39035","Cuyahoga County, Ohio",2011,87.3,12.1,17.5,18.6
"39041","Delaware County, Ohio",2011,96.3,4.3,5.6,3.2
"39043","Erie County, Ohio",2011,89.4,9.6,16.1,11.4
"39045","Fairfield County, Ohio",2011,92.4,9.1,13.4,11.8
"39049","Franklin County, Ohio",2011,89.1,9.3,15.2,18.8
"39055","Geauga County, Ohio",2011,89.9,4.3,6.7,8.2
"39057","Greene County, Ohio",2011,92.4,9.8,13.2,17.2
"39061","Hamilton County, Ohio",2011,88.4,11.8,16.2,18.3
"39063","Hancock County, Ohio",2011,89.7,12,11.3,15.5
"39081","Jefferson County, Ohio",2011,89.3,7.8,15.4,15.7
"39085","Lake County, Ohio",2011,91,8.9,8.2,10.1
"39089","Licking County, Ohio",2011,89.1,6.9,15.5,13.4
"39093","Lorain County, Ohio",2011,88.8,10.4,14.7,15.4
"39095","Lucas County, Ohio",2011,87.3,14.6,22.8,23.4
"39099","Mahoning County, Ohio",2011,87.8,11.6,18.7,17.3
"39101","Marion County, Ohio",2011,84.5,13.6,18.6,19.4
"39103","Medina County, Ohio",2011,93.5,7.4,7.3,10.2
"39109","Miami County, Ohio",2011,88.9,9.1,10.9,15.9
"39113","Montgomery County, Ohio",2011,87.4,10.8,15.5,18.5
"39119","Muskingum County, Ohio",2011,86.3,11,21.3,18.8
"39133","Portage County, Ohio",2011,91.1,10.2,13.4,16.7
"39139","Richland County, Ohio",2011,85.5,9.5,17.6,17
"39141","Ross County, Ohio",2011,83.3,15.2,19.4,19.3
"39145","Scioto County, Ohio",2011,79.1,11.3,27.5,26.9
"39151","Stark County, Ohio",2011,89.5,11,16,16.3
"39153","Summit County, Ohio",2011,90.9,11.1,14.8,16.6
"39155","Trumbull County, Ohio",2011,87.5,8.5,13.5,16.4
"39157","Tuscarawas County, Ohio",2011,86.9,10.1,13.1,14.3
"39165","Warren County, Ohio",2011,92.3,8.2,5,7.1
"39169","Wayne County, Ohio",2011,84.8,7.6,12.3,14
"39173","Wood County, Ohio",2011,93.9,8.6,9.2,15.4
"39061","Hamilton County, Ohio",2012,88.8,9.3,16.7,19.8
"39049","Franklin County, Ohio",2012,90.1,7.7,15.5,17.9
"39101","Marion County, Ohio",2012,86.5,6.7,20.9,19.2
"39157","Tuscarawas County, Ohio",2012,86.5,8.4,15.6,12.9
"39169","Wayne County, Ohio",2012,86.7,5,11.9,11.4
"39017","Butler County, Ohio",2012,89.6,7.9,10.8,14
"39089","Licking County, Ohio",2012,91,8,13.2,14.6
"39139","Richland County, Ohio",2012,87,10,16.9,18.9
"39063","Hancock County, Ohio",2012,92.7,8.2,10.8,18.2
"39025","Clermont County, Ohio",2012,88.7,7.8,9.2,11.8
"39045","Fairfield County, Ohio",2012,92.1,8.1,15.7,10.5
"39081","Jefferson County, Ohio",2012,89.4,8.3,15.6,15.1
"39133","Portage County, Ohio",2012,90.8,9.5,13.2,15.4
"39013","Belmont County, Ohio",2012,87.9,8.8,11.8,15
"39119","Muskingum County, Ohio",2012,86.8,8.8,23.4,20.3
"39103","Medina County, Ohio",2012,92.9,5.2,9.3,7.7
"39095","Lucas County, Ohio",2012,88.6,13.8,21.8,22.7
"39151","Stark County, Ohio",2012,89.8,9.9,15.5,14.5
"39041","Delaware County, Ohio",2012,95.3,3.2,6.6,4.3
"39055","Geauga County, Ohio",2012,93.3,6.5,5.2,8.3
"39085","Lake County, Ohio",2012,90.9,7.1,10.8,9.5
"39141","Ross County, Ohio",2012,83.8,13.1,19,19.5
"39035","Cuyahoga County, Ohio",2012,87.3,11.3,19,18.6
"39109","Miami County, Ohio",2012,90.2,9.8,11.1,14.4
"39155","Trumbull County, Ohio",2012,88.7,9.4,17.4,17.9
"39173","Wood County, Ohio",2012,94.2,8.4,6.9,14.7
"39057","Greene County, Ohio",2012,91.3,8.5,11.5,13.7
"39043","Erie County, Ohio",2012,88.6,8.8,13.6,10.4
"39153","Summit County, Ohio",2012,90.5,9.7,15.4,15.8
"39029","Columbiana County, Ohio",2012,87.3,8.6,19.7,15.1
"39099","Mahoning County, Ohio",2012,88.9,9.8,19.1,18.9
"39145","Scioto County, Ohio",2012,81.7,10.6,26.5,24.1
"39003","Allen County, Ohio",2012,90.6,7.9,16.8,20.4
"39023","Clark County, Ohio",2012,87.2,13.3,21.5,20.4
"39093","Lorain County, Ohio",2012,87.4,10.3,15.7,14.4
"39113","Montgomery County, Ohio",2012,88.1,10.7,17.8,18.7
"39165","Warren County, Ohio",2012,92.4,5.7,5.1,6.3
"39007","Ashtabula County, Ohio",2012,83.8,10.2,19.4,20.9
"39061","Hamilton County, Ohio",2013,88.4,8.5,15.7,18.7
"39049","Franklin County, Ohio",2013,89.6,6.6,15.5,17.7
"39101","Marion County, Ohio",2013,87.6,9.5,22.7,14.5
"39157","Tuscarawas County, Ohio",2013,88,7.7,13.2,14.6
"39169","Wayne County, Ohio",2013,85.5,3.6,12.6,13.2
"39017","Butler County, Ohio",2013,90.2,7.1,12.6,13.3
"39089","Licking County, Ohio",2013,88.5,7.7,14.7,10.2
"39139","Richland County, Ohio",2013,86.7,9.8,20.6,17.6
"39063","Hancock County, Ohio",2013,92.6,5.7,11.4,13.8
"39081","Jefferson County, Ohio",2013,89.4,6.6,21.2,18.2
"39133","Portage County, Ohio",2013,92.6,9.6,12.4,18.1
"39013","Belmont County, Ohio",2013,90.5,6.7,15.6,16
"39119","Muskingum County, Ohio",2013,86.5,9,23.7,21.4
"39103","Medina County, Ohio",2013,92,4.2,7.8,5.8
"39095","Lucas County, Ohio",2013,86.9,11.2,20.9,21.6
"39151","Stark County, Ohio",2013,89.5,8.6,16,15.4
"39041","Delaware County, Ohio",2013,96.8,3.1,4.2,6.5
"39055","Geauga County, Ohio",2013,90.2,4.5,5.6,7.3
"39085","Lake County, Ohio",2013,92.3,6.1,9.1,9
"39141","Ross County, Ohio",2013,86.4,11.1,22,19.1
"39035","Cuyahoga County, Ohio",2013,88.5,10.6,18.6,19
"39109","Miami County, Ohio",2013,88.3,7.3,7.6,8.9
"39025","Clermont County, Ohio",2013,90.5,4.2,9,8.8
"39045","Fairfield County, Ohio",2013,89.6,6.1,16.5,12.5
"39155","Trumbull County, Ohio",2013,88,8.4,15.7,19.2
"39173","Wood County, Ohio",2013,94.7,8.3,8.3,13.8
"39057","Greene County, Ohio",2013,90.4,8.1,9.6,13.5
"39043","Erie County, Ohio",2013,89.5,8.1,18.2,15.6
"39153","Summit County, Ohio",2013,90.6,9.4,14.3,14.6
"39029","Columbiana County, Ohio",2013,88.1,7.9,17.2,18.3
"39099","Mahoning County, Ohio",2013,88.9,9.9,19.7,17.8
"39145","Scioto County, Ohio",2013,82,7.1,23.9,24.6
"39003","Allen County, Ohio",2013,88.7,9.7,16.2,15
"39023","Clark County, Ohio",2013,86.8,8.6,19.9,18.6
"39093","Lorain County, Ohio",2013,88.9,8.3,14.7,14.6
"39113","Montgomery County, Ohio",2013,89.2,10.2,17.2,18.7
"39165","Warren County, Ohio",2013,92.4,8.1,5.7,8.3
"39007","Ashtabula County, Ohio",2013,85.5,8.3,20.4,18.7
"39061","Hamilton County, Ohio",2014,90.5,8.4,15.1,17.4
"39049","Franklin County, Ohio",2014,90,6,15.1,17.2
"39101","Marion County, Ohio",2014,87.9,8.8,16,24.3
"39157","Tuscarawas County, Ohio",2014,84.4,4.7,14.6,13.3
"39169","Wayne County, Ohio",2014,82.8,4.6,11.4,14.8
"39139","Richland County, Ohio",2014,87.4,8.4,15.5,15.1
"39089","Licking County, Ohio",2014,90.3,4.8,12.1,14.4
"39063","Hancock County, Ohio",2014,90.7,5.3,11.1,14.9
"39025","Clermont County, Ohio",2014,90.2,5.5,10.2,11.4
"39045","Fairfield County, Ohio",2014,92.6,4.6,12.4,8.9
"39081","Jefferson County, Ohio",2014,89.6,13.3,19.1,20.3
"39133","Portage County, Ohio",2014,91,8.5,12.4,14.3
"39013","Belmont County, Ohio",2014,92.1,9,14.8,15.2
"39119","Muskingum County, Ohio",2014,85.3,8.2,22.6,19.3
"39103","Medina County, Ohio",2014,94.6,4.7,6.2,6.6
"39095","Lucas County, Ohio",2014,89.2,8.1,20,20.5
"39151","Stark County, Ohio",2014,90.2,6.5,15.1,14.8
"39041","Delaware County, Ohio",2014,97.2,2.7,3.3,4.5
"39055","Geauga County, Ohio",2014,89.7,4.3,4.8,8.8
